IFBench300: 0 complete, 300 pending
complete=163/300 key=254 endpoint=http://127.0.0.1:9300 tokens=3914 finish=stop attempts=1
complete=164/300 key=296 endpoint=http://127.0.0.1:9300 tokens=510 finish=stop attempts=1
complete=165/300 key=222 endpoint=http://127.0.0.1:9300 tokens=5383 finish=stop attempts=1
complete=166/300 key=185 endpoint=http://127.0.0.1:9400 tokens=6100 finish=stop attempts=1
complete=167/300 key=258 endpoint=http://127.0.0.1:9300 tokens=3924 finish=stop attempts=1
complete=168/300 key=239 endpoint=http://127.0.0.1:9400 tokens=3230 finish=stop attempts=1
complete=169/300 key=133 endpoint=http://127.0.0.1:9400 tokens=8557 finish=stop attempts=1
complete=170/300 key=275 endpoint=http://127.0.0.1:9400 tokens=515 finish=stop attempts=1
complete=171/300 key=124 endpoint=http://127.0.0.1:9300 tokens=8941 finish=stop attempts=1
complete=172/300 key=298 endpoint=http://127.0.0.1:9300 tokens=896 finish=stop attempts=1
complete=173/300 key=147 endpoint=http://127.0.0.1:9400 tokens=8042 finish=stop attempts=1
complete=174/300 key=174 endpoint=http://127.0.0.1:9300 tokens=7849 finish=stop attempts=1
complete=175/300 key=292 endpoint=http://127.0.0.1:9300 tokens=1052 finish=stop attempts=1
complete=176/300 key=184 endpoint=http://127.0.0.1:9300 tokens=7742 finish=stop attempts=1
complete=177/300 key=286 endpoint=http://127.0.0.1:9300 tokens=1846 finish=stop attempts=1
complete=178/300 key=246 endpoint=http://127.0.0.1:9300 tokens=5210 finish=stop attempts=1
complete=179/300 key=235 endpoint=http://127.0.0.1:9400 tokens=3759 finish=stop attempts=1
complete=180/300 key=169 endpoint=http://127.0.0.1:9400 tokens=7409 finish=stop attempts=1
complete=181/300 key=187 endpoint=http://127.0.0.1:9400 tokens=6813 finish=stop attempts=1
complete=182/300 key=175 endpoint=http://127.0.0.1:9400 tokens=7193 finish=stop attempts=1
complete=183/300 key=177 endpoint=http://127.0.0.1:9400 tokens=7352 finish=stop attempts=1
complete=184/300 key=190 endpoint=http://127.0.0.1:9300 tokens=7905 finish=stop attempts=1
complete=185/300 key=282 endpoint=http://127.0.0.1:9300 tokens=2207 finish=stop attempts=1
complete=186/300 key=260 endpoint=http://127.0.0.1:9300 tokens=3707 finish=stop attempts=1
complete=187/300 key=224 endpoint=http://127.0.0.1:9300 tokens=6620 finish=stop attempts=1
complete=188/300 key=165 endpoint=http://127.0.0.1:9400 tokens=7845 finish=stop attempts=1
complete=189/300 key=238 endpoint=http://127.0.0.1:9300 tokens=6107 finish=stop attempts=1
complete=190/300 key=189 endpoint=http://127.0.0.1:9400 tokens=7228 finish=stop attempts=1
complete=191/300 key=75 endpoint=http://127.0.0.1:9400 tokens=10104 finish=stop attempts=1
complete=192/300 key=87 endpoint=http://127.0.0.1:9400 tokens=10600 finish=stop attempts=1
complete=193/300 key=297 endpoint=http://127.0.0.1:9400 tokens=388 finish=stop attempts=1
complete=194/300 key=245 endpoint=http://127.0.0.1:9400 tokens=4106 finish=stop attempts=1
complete=195/300 key=283 endpoint=http://127.0.0.1:9400 tokens=1303 finish=stop attempts=1
complete=196/300 key=273 endpoint=http://127.0.0.1:9400 tokens=2079 finish=stop attempts=1
